# cadence BJD stars_used sigma X_0 X_x X_y X_xx X_xy X_yy Y_0 Y_x Y_y Y_xx Y_xy Y_yy
126759 2457532.07678 2353 0.0466 -3.2943805242e+05 1.5258624084e+03 -1.6884656107e+03 -1.0263699020e+00 6.9713525264e+00 -2.5130160452e-01 -1.5463040750e+05 1.5629517826e+03 1.3074336879e+03 -3.3246595342e+00 -1.7105514560e+00 -6.1290659860e-01
126760 2457532.09722 2181 0.0462 -3.2749460613e+05 1.5111440623e+03 -1.6906853774e+03 -9.9833070075e-01 6.9829918468e+00 -2.3551334636e-01 -1.5502762155e+05 1.5652490958e+03 1.3012745713e+03 -3.3279459577e+00 -1.6921020340e+00 -6.3389331208e-01
126761 2457532.11765 2225 0.0467 -3.2798012099e+05 1.5145764319e+03 -1.6923987205e+03 -1.0045218722e+00 6.9866995483e+00 -2.4806063170e-01 -1.5486305122e+05 1.5642130832e+03 1.3030104275e+03 -3.3262133172e+00 -1.6956559285e+00 -6.2039678666e-01
126762 2457532.13809 2608 0.0465 -3.2849815015e+05 1.5188250528e+03 -1.6887898212e+03 -1.0132130380e+00 6.9722766781e+00 -2.5256559720e-01 -1.5476113912e+05 1.5639123017e+03 1.3073128918e+03 -3.3265352493e+00 -1.7121923568e+00 -6.2270012268e-01
126763 2457532.15852 2540 0.0474 -3.2755260036e+05 1.5115098722e+03 -1.6912683833e+03 -9.9898118912e-01 6.9834389152e+00 -2.4350841554e-01 -1.5483404533e+05 1.5642384653e+03 1.3053167725e+03 -3.3267105281e+00 -1.7042336450e+00 -6.2026952977e-01
126764 2457532.17896 2376 0.0475 -3.2894290164e+05 1.5220496973e+03 -1.6895726144e+03 -1.0190287500e+00 6.9756539994e+00 -2.5040802256e-01 -1.5522533104e+05 1.5672938163e+03 1.3066210059e+03 -3.3325935964e+00 -1.7078007057e+00 -6.1421117317e-01
126765 2457532.19939 2528 0.0474 -3.2829480309e+05 1.5172295356e+03 -1.6895027598e+03 -1.0100544918e+00 6.9756262993e+00 -2.4925739523e-01 -1.5524732175e+05 1.5675120038e+03 1.3071421294e+03 -3.3331322366e+00 -1.7103184373e+00 -6.1690092253e-01
126766 2457532.21983 2609 0.0467 -3.2853722126e+05 1.5191613338e+03 -1.6883641688e+03 -1.0139383099e+00 6.9704334875e+00 -2.5362737109e-01 -1.5513181515e+05 1.5660759258e+03 1.3017646231e+03 -3.3295747005e+00 -1.6938351321e+00 -6.3354841102e-01
126767 2457532.24026 1680 0.0482 -3.3001004149e+05 1.5304252514e+03 -1.6857083100e+03 -1.0353702678e+00 6.9622450131e+00 -2.4554115663e-01 -1.5170109643e+05 1.5398944059e+03 1.2961553795e+03 -3.2796459622e+00 -1.6728387024e+00 -6.3312023205e-01
126768 2457532.26070 2514 0.0467 -3.2936230133e+05 1.5253593713e+03 -1.6878843997e+03 -1.0256069575e+00 6.9681077633e+00 -2.5607622695e-01 -1.5435184770e+05 1.5603535546e+03 1.3026454972e+03 -3.3190580714e+00 -1.6966753237e+00 -6.3147294082e-01
126769 2457532.28111 630 0.0477 -3.2492042733e+05 1.4904015059e+03 -1.7054246953e+03 -9.5640190367e-01 7.0451121734e+00 -2.0124295446e-01 -1.4652026253e+05 1.5005728857e+03 1.2895606135e+03 -3.2049203125e+00 -1.6456328373e+00 -6.2071182329e-01
126770 2457532.30157 2822 0.0470 -3.2919364647e+05 1.5241145833e+03 -1.6877503860e+03 -1.0231474990e+00 6.9706561604e+00 -2.4178285585e-01 -1.5517031894e+05 1.5662371049e+03 1.3006488733e+03 -3.3296002683e+00 -1.6889167636e+00 -6.2999079641e-01
126771 2457532.32201 2517 0.0475 -3.2859323619e+05 1.5194915612e+03 -1.6891299794e+03 -1.0142548996e+00 6.9758456791e+00 -2.4156535560e-01 -1.5528406370e+05 1.5669138065e+03 1.2990474659e+03 -3.3305243398e+00 -1.6826183891e+00 -6.2848354894e-01
