# cadence BJD stars_used sigma X_0 X_x X_y X_xx X_xy X_yy Y_0 Y_x Y_y Y_xx Y_xy Y_yy
132894 2457657.43922 86 0.1288 2.7258679339e+05 -1.1004227060e+03 1.9455658822e+03 1.6777544222e-01 -8.0680058260e+00 -5.9810259178e-02 1.2415799142e+05 -1.3272179406e+03 -1.2774114728e+03 2.8834278038e+00 1.3619343257e+00 -5.2577512680e-01
132895 2457657.45965 90 0.1688 2.7150784365e+05 -1.0929972455e+03 1.9382435819e+03 1.5489348936e-01 -8.0446962650e+00 -8.0533189613e-02 1.2804395316e+05 -1.3528044724e+03 -1.2404947530e+03 2.9255393748e+00 1.2402245820e+00 -4.3917665000e-01
132897 2457657.50052 89 0.1578 2.8482989620e+05 -1.1994574634e+03 1.8952855939e+03 3.6673100227e-01 -7.8885841915e+00 -1.1752614209e-01 1.2379492644e+05 -1.3180901230e+03 -1.2207115667e+03 2.8542033339e+00 1.1512405382e+00 -5.0068638397e-01
132898 2457657.52095 88 0.1522 2.8253724586e+05 -1.1819517747e+03 1.8954042927e+03 3.3329255985e-01 -7.8894265239e+00 -1.1916426226e-01 1.3305907140e+05 -1.3913427543e+03 -1.2438717307e+03 2.9995882579e+00 1.2535166144e+00 -4.3687165813e-01
132899 2457657.54138 86 0.1291 2.8126643867e+05 -1.1724289304e+03 1.8937570400e+03 3.1520077545e-01 -7.8878162844e+00 -1.4026328196e-01 1.3476110198e+05 -1.4051100474e+03 -1.2509138108e+03 3.0272954852e+00 1.2795774786e+00 -4.4060713150e-01
132900 2457657.56181 86 0.1263 2.8053705915e+05 -1.1675843079e+03 1.8872455142e+03 3.0707402321e-01 -7.8676573789e+00 -1.6124550966e-01 1.3573121571e+05 -1.4128271411e+03 -1.2536783347e+03 3.0426152900e+00 1.2900812692e+00 -4.4085522920e-01
132901 2457657.58224 86 0.1328 2.7574421594e+05 -1.1267071257e+03 1.9258489530e+03 2.2145196952e-01 -8.0044927054e+00 -1.1325966493e-01 1.3617018509e+05 -1.4169323317e+03 -1.2603916793e+03 3.0519470820e+00 1.3167828138e+00 -4.3584824114e-01
132902 2457657.60268 86 0.1237 2.7578439453e+05 -1.1257451105e+03 1.9372292839e+03 2.1708855932e-01 -8.0498899486e+00 -1.2220367054e-01 1.3521091818e+05 -1.4090330901e+03 -1.2550962497e+03 3.0355945819e+00 1.2932992599e+00 -4.5093484704e-01
132903 2457657.62311 86 0.1222 2.7380073446e+05 -1.1102181609e+03 1.9407610172e+03 1.8711179775e-01 -8.0563133211e+00 -9.0080179413e-02 1.3291277896e+05 -1.3910162540e+03 -1.2506118818e+03 3.0002364729e+00 1.2748485870e+00 -4.5721961491e-01
132904 2457657.64354 85 0.1243 2.7196105991e+05 -1.0960439357e+03 1.9419846340e+03 1.6009472082e-01 -8.0558516415e+00 -6.6709284972e-02 1.2654931756e+05 -1.3427015662e+03 -1.2528016435e+03 2.9084518372e+00 1.2817047542e+00 -4.6426204925e-01
132906 2457657.68441 91 0.1688 2.7117302577e+05 -1.0907374398e+03 1.9355780761e+03 1.5111989757e-01 -8.0349697346e+00 -8.2391515326e-02 1.2239193161e+05 -1.3098528848e+03 -1.2422601252e+03 2.8435097845e+00 1.2391011343e+00 -4.7504579778e-01
132907 2457657.70484 92 0.1666 2.7123412905e+05 -1.0923175070e+03 1.9254511021e+03 1.5624219619e-01 -7.9966261767e+00 -8.3602331297e-02 1.2524574444e+05 -1.3303278112e+03 -1.2301221923e+03 2.8804034782e+00 1.1985808522e+00 -4.4863500701e-01
132909 2457657.74570 86 0.1270 2.8029209894e+05 -1.1654463931e+03 1.8896529085e+03 3.0258501892e-01 -7.8750145227e+00 -1.5309564784e-01 1.3473180019e+05 -1.4046067901e+03 -1.2482830810e+03 3.0259796210e+00 1.2727537808e+00 -4.2607850172e-01
132910 2457657.76613 87 0.1315 2.7987011147e+05 -1.1624100566e+03 1.8880228372e+03 2.9694260322e-01 -7.8723991827e+00 -1.6919833980e-01 1.3500009646e+05 -1.4070877665e+03 -1.2521422971e+03 3.0314796672e+00 1.2863870086e+00 -4.3101630728e-01
132911 2457657.78657 85 0.1323 2.7641186494e+05 -1.1307916245e+03 1.9348857219e+03 2.2716502714e-01 -8.0417613108e+00 -1.2602591065e-01 1.3466824407e+05 -1.4041584359e+03 -1.2484259751e+03 3.0243729736e+00 1.2584120619e+00 -4.9352836649e-01
132912 2457657.80700 84 0.1172 2.7467008820e+05 -1.1170865845e+03 1.9386275818e+03 2.0024972257e-01 -8.0556649379e+00 -1.2415008487e-01 1.3406303515e+05 -1.4009749972e+03 -1.2614543990e+03 3.0214399674e+00 1.3154140307e+00 -4.6051505426e-01
132913 2457657.82743 85 0.1238 2.7267893000e+05 -1.1013872167e+03 1.9432170041e+03 1.7008690288e-01 -8.0595613393e+00 -6.2343572809e-02 1.3227037849e+05 -1.3858668239e+03 -1.2483025136e+03 2.9898725974e+00 1.2647756258e+00 -4.6303759259e-01
132914 2457657.84786 85 0.1223 2.7109095567e+05 -1.0893767849e+03 1.9422265815e+03 1.4733246664e-01 -8.0566110998e+00 -6.5956248476e-02 1.3011629660e+05 -1.3685396826e+03 -1.2399913371e+03 2.9552166173e+00 1.2348376520e+00 -4.5488896935e-01
132915 2457657.86829 91 0.1681 2.7109799183e+05 -1.0895876932e+03 1.9407698499e+03 1.4787645695e-01 -8.0538813840e+00 -7.8510617735e-02 1.2323372882e+05 -1.3190185005e+03 -1.2668537014e+03 2.8654832255e+00 1.3195661475e+00 -5.3520602442e-01
